"Refs","Value","Footprint","Qty","DNP"
"ANT1","2450AT18A100E","RF_Antenna:Johanson_2450AT18x100","1",""
"BT1","Keystone_1060","nibas_wristband:Keystone_1060_CR2032_SMT","1",""
"C1","12pF","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","12pF","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","0.8pF","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","100pF","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","100nF","Capacitor_SMD:C_0402_1005Metric","1","DNP"
"C8","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","4.7uF","Capacitor_SMD:C_0603_1608Metric","1",""
"C10","1.0uF","Capacitor_SMD:C_0603_1608Metric","1",""
"L1","3.9nH","Inductor_SMD:L_0402_1005Metric","1",""
"L2","10uH","Inductor_SMD:L_0603_1608Metric","1",""
"L3","15nH","Inductor_SMD:L_0402_1005Metric","1",""
"R1","10k","Resistor_SMD:R_0402_1005Metric","1","DNP"
"SHLD1","Ferrite_Shield","nibas_wristband:SHLD1_Ferrite_Shield_22mm","1",""
"TAG1","NTAG213_Inlay","nibas_wristband:NTAG213_Inlay_25mm","1",""
"TP1","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP2","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP3","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP4","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","1",""
"U1","nRF52810-QCAA","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","1",""
"X1","32MHz CL=8pF","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","1",""
