Ref,Val,Package,PosX,PosY,Rot,Side
"SHLD1","Ferrite_Shield_22mm","SHLD1_Ferrite_Shield_22mm",100.000000,-100.000000,180.000000,bottom
"ANT1","Johanson_2450AT18x100","Johanson_2450AT18x100",109.400000,-109.400000,0.000000,top
"BT1","Keystone_1060","Keystone_1060_CR2032_SMT",100.000000,-100.000000,-90.000000,top
"C1","C_0402_1005Metric","C_0402_1005Metric",95.500000,-112.800000,0.000000,top
"C2","C_0402_1005Metric","C_0402_1005Metric",95.500000,-109.200000,0.000000,top
"C3","C_0402_1005Metric","C_0402_1005Metric",106.000000,-108.500000,0.000000,top
"C4","C_0402_1005Metric","C_0402_1005Metric",93.200000,-112.900000,0.000000,top
"C5","C_0402_1005Metric","C_0402_1005Metric",95.800000,-110.600000,90.000000,top
"C6","C_0402_1005Metric","C_0402_1005Metric",107.000000,-112.400000,0.000000,top
"C7","C_0402_1005Metric","C_0402_1005Metric",104.000000,-114.400000,0.000000,top
"C8","C_0402_1005Metric","C_0402_1005Metric",91.100000,-110.500000,0.000000,top
"C9","C_0603_1608Metric","C_0603_1608Metric",89.500000,-108.200000,0.000000,top
"C10","C_0603_1608Metric","C_0603_1608Metric",104.500000,-113.000000,0.000000,top
"L1","L_0402_1005Metric","L_0402_1005Metric",106.000000,-111.000000,0.000000,top
"L2","L_0603_1608Metric","L_0603_1608Metric",94.600000,-108.000000,0.000000,top
"L3","L_0402_1005Metric","L_0402_1005Metric",92.000000,-108.000000,0.000000,top
"R1","R_0402_1005Metric","R_0402_1005Metric",90.000000,-90.000000,0.000000,top
"U1","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",100.000000,-110.300000,0.000000,top
"X1","Crystal_SMD_2016-4Pin_2.0x1.6mm","Crystal_SMD_2016-4Pin_2.0x1.6mm",93.800000,-111.000000,0.000000,top
