"Refs","Value","Footprint","Qty","DNP"
"BT1","Keystone_1060","nibas_wristband:Keystone_1060_CR2032_SMT","1",""
"C1","10uF","Capacitor_SMD:C_0603_1608Metric","1",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"J1","Battery_Negative_Contact","nibas_wristband:J1_Battery_Negative_Contact","1",""
"SHLD1","Ferrite_Shield","nibas_wristband:SHLD1_Ferrite_Shield_22mm","1",""
"TAG1","NTAG213_Inlay","nibas_wristband:NTAG213_Inlay_25mm","1",""
"TP1","TestPad_VDD","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP2","TestPad_SWDIO","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP3","TestPad_SWDCLK","TestPoint:TestPoint_Pad_D1.0mm","1",""
"TP4","TestPad_GND","TestPoint:TestPoint_Pad_D1.0mm","1",""
"U1","BM832A","nibas_wristband:BM832A","1",""
